Latitude,Longitude,Diameter(m),Depth(m),Confidence
-85.0343191,25.6618467,9.0,4.349999999999999,0.7222921848297119
-85.0346396,25.6530826,8.7,4.199999999999999,0.7127380967140198
-85.0329143,25.6754696,9.299999999999999,4.799999999999999,0.6426379084587097
-85.0401841,25.6501801,10.2,4.949999999999999,0.6318233013153076
-85.0355261,25.6784129,6.3,2.9999999999999996,0.6245224475860596
-85.0383358,25.6511478,8.4,4.199999999999999,0.5917332172393799
-85.0349599,25.6443176,6.3,3.1499999999999995,0.5824258327484131
-85.038581,25.6940381,19.2,8.999999999999998,0.4624517261981964
-85.0341208,25.6920366,15.6,6.899999999999999,0.447192519903183
-85.0317077,25.6589069,12.0,5.999999999999999,0.44140756130218506
-85.0329143,25.6754696,5.7,2.9999999999999996,0.43856489658355713
-85.0376177,25.7203421,8.1,4.049999999999999,0.4359515607357025
-85.0395432,25.667726,5.7,2.9999999999999996,0.42955008149147034
-85.0307458,25.6851811,6.6,3.1499999999999995,0.42755576968193054
-85.0326685,25.6326246,7.5,3.7499999999999996,0.41799691319465637
-85.0315092,25.6890847,5.3999999999999995,2.5499999999999994,0.4116801917552948
-85.0378921,25.6384762,6.6,3.599999999999999,0.3621659576892853
-85.0363642,25.6306804,4.8,2.5499999999999994,0.3370608985424042
-85.0409482,25.6540835,4.2,2.8499999999999996,0.3183012008666992
-85.0355261,25.6784129,4.8,2.5499999999999994,0.29926106333732605
-85.0364877,25.652114,5.7,2.9999999999999996,0.28316745162010193
-85.0354034,25.6569813,5.3999999999999995,2.6999999999999993,0.2797263264656067
-85.0315092,25.6890847,5.3999999999999995,2.5499999999999994,0.27849680185317993
-85.0371281,25.634577,22.8,32.69999999999999,0.27779272198677063
-85.038138,25.6813617,5.3999999999999995,2.5499999999999994,0.27393192052841187
-85.0396657,25.6891761,4.5,2.0999999999999996,0.26595938205718994
-85.0396657,25.6891761,5.7,2.5499999999999994,0.2517882287502289
-85.0351561,25.6141226,82.5,72.44999999999999,0.6709516048431396
-85.0386561,25.6423766,13.5,5.399999999999999,0.5123003721237183
-85.0386561,25.6423766,20.7,5.099999999999999,0.4989453852176666
-85.0337524,25.6277579,9.9,5.099999999999999,0.44884759187698364
-85.036044,25.6394483,12.0,5.699999999999999,0.43406951427459717
-85.0375719,25.6472462,9.299999999999999,4.649999999999999,0.43382972478866577
-85.0415887,25.6365318,13.799999999999999,5.249999999999999,0.4260209798812866
-85.036044,25.6394483,9.6,4.799999999999999,0.42466241121292114
-85.0337524,25.6277579,9.6,2.8499999999999996,0.41659215092658997
-85.0382122,25.6297052,11.7,5.999999999999999,0.41268643736839294
-85.0406277,25.662858,9.0,4.499999999999999,0.4095712900161743
-85.0337524,25.6277579,14.1,2.9999999999999996,0.37545642256736755
-85.0397403,25.6375048,22.2,9.899999999999999,0.37364622950553894
-85.0389762,25.6336046,12.9,3.7499999999999996,0.36138007044792175
-85.0337524,25.6277579,8.7,3.7499999999999996,0.361337274312973
-85.036044,25.6394483,14.1,4.799999999999999,0.3427038788795471
-85.0386561,25.6423766,15.0,3.7499999999999996,0.33753702044487
-85.0337524,25.6277579,13.799999999999999,5.549999999999999,0.337117999792099
-85.0366842,25.6219116,11.7,5.099999999999999,0.33661988377571106
-85.0401841,25.6501801,9.9,4.199999999999999,0.3289934992790222
-85.0412685,25.6453081,16.8,3.8999999999999995,0.32490283250808716
-85.0378921,25.6384762,76.8,11.849999999999998,0.30465438961982727
-85.0383358,25.6511478,10.5,3.4499999999999993,0.29800495505332947
-85.0409482,25.6540835,11.1,3.8999999999999995,0.2912071943283081
-85.0383358,25.6511478,9.299999999999999,2.9999999999999996,0.28666388988494873
-85.0412685,25.6453081,19.8,5.699999999999999,0.2757737636566162
-85.0386561,25.6423766,11.4,3.4499999999999993,0.2741009593009949
-85.0386561,25.6423766,12.0,3.4499999999999993,0.2731740474700928
-85.0375719,25.6472462,15.299999999999999,4.499999999999999,0.26891371607780457
-85.0409482,25.6540835,12.0,3.2999999999999994,0.2659946084022522
-85.0386561,25.6423766,11.7,3.4499999999999993,0.26261091232299805
-85.0383358,25.6511478,12.9,3.2999999999999994,0.2624027729034424
-85.0383358,25.6511478,11.7,2.9999999999999996,0.2612045705318451
-85.0382122,25.6297052,14.7,7.349999999999999,0.25743162631988525
-85.0412685,25.6453081,13.5,3.599999999999999,0.2550206780433655
-85.036044,25.6394483,9.6,5.099999999999999,0.25241661071777344
-85.0382122,25.6297052,10.5,4.499999999999999,0.2507239282131195
-85.0401841,25.6501801,9.6,4.799999999999999,0.25043219327926636
-85.0289733,25.634536,11.4,5.549999999999999,0.7179229855537415
-85.0243177,25.6626627,52.5,22.199999999999996,0.5971229672431946
-85.0288978,25.6861293,19.2,9.899999999999999,0.5903562307357788
-85.0278136,25.6909705,13.2,10.049999999999997,0.5776579976081848
-85.028086,25.6092127,6.6,3.4499999999999993,0.5381309390068054
-85.0276421,25.5965547,7.8,3.8999999999999995,0.5370277166366577
-85.0327918,25.6540462,14.7,5.549999999999999,0.5358411073684692
-85.0268059,25.6442276,6.3,3.1499999999999995,0.48912879824638367
-85.0285298,25.6218733,5.3999999999999995,2.9999999999999996,0.48117750883102417
-85.0268781,25.5926578,5.1,2.5499999999999994,0.4650566875934601
-85.0327918,25.6540462,20.099999999999998,5.099999999999999,0.4537978768348694
-85.028086,25.6092127,4.8,2.6999999999999993,0.4176037907600403
-85.0292934,25.6257796,5.7,2.8499999999999996,0.399850457906723
-85.0321507,25.6715672,12.0,6.149999999999999,0.3784739077091217
-85.0325936,25.6842299,9.6,5.099999999999999,0.37720680236816406
-85.0325936,25.6842299,8.4,3.8999999999999995,0.37245965003967285
-85.0262387,25.6101643,5.1,2.8499999999999996,0.35762274265289307
-85.0325936,25.6842299,13.799999999999999,5.399999999999999,0.35144245624542236
-85.0322246,25.6199662,5.1,2.6999999999999993,0.3494633734226227
-85.0260425,25.64032,6.0,3.1499999999999995,0.34471237659454346
-85.0329143,25.6754696,11.4,2.8499999999999996,0.34119826555252075
-85.0327918,25.6540462,19.2,3.8999999999999995,0.3386102318763733
-85.0337524,25.6277579,47.699999999999996,11.399999999999999,0.32078394293785095
-85.0282098,25.6306285,13.799999999999999,7.049999999999999,0.31697219610214233
-85.0259188,25.6189163,4.5,2.2499999999999996,0.30992916226387024
-85.0322727,25.6929893,13.799999999999999,4.799999999999999,0.292021781206131
-85.0322727,25.6929893,13.5,4.799999999999999,0.2880486845970154
-85.03183,25.6803264,76.2,12.299999999999997,0.2878173887729645
-85.0322727,25.6929893,13.5,4.649999999999999,0.27778226137161255
-85.0321507,25.6715672,16.2,7.349999999999999,0.2734304666519165
-85.0325936,25.6842299,15.299999999999999,4.949999999999999,0.2713036835193634
-85.0322727,25.6929893,12.0,4.199999999999999,0.267927885055542
-85.0327918,25.6540462,12.9,3.2999999999999994,0.2599771320819855
-85.0327918,25.6540462,13.5,3.2999999999999994,0.2584114074707031
-85.0340724,25.6189933,21.3,6.449999999999999,0.2581665813922882
-85.0324713,25.6628071,16.8,3.4499999999999993,0.2552650272846222
-85.0327918,25.6540462,12.299999999999999,3.2999999999999994,0.2551967203617096
-85.0334323,25.6365215,8.4,3.4499999999999993,0.253926545381546
-85.0324713,25.6628071,11.1,3.4499999999999993,0.2519885301589966
-85.0296133,25.6170224,10.2,5.399999999999999,0.6406511664390564
-85.0305725,25.5907453,8.7,4.499999999999999,0.6299993991851807
-85.0287254,25.5917,13.799999999999999,5.399999999999999,0.5829622149467468
-85.0282811,25.5790424,10.5,5.099999999999999,0.5281147360801697
-85.0291695,25.6043601,10.799999999999999,4.799999999999999,0.40797221660614014
-85.027517,25.5751476,16.5,4.049999999999999,0.38946112990379333
-85.0303769,25.6209287,4.5,6.149999999999999,0.3871222734451294
-85.0284058,25.6004568,9.299999999999999,4.799999999999999,0.37232449650764465
-85.0287254,25.5917,9.299999999999999,4.649999999999999,0.36008989810943604
-85.0325444,25.6112038,12.299999999999999,5.549999999999999,0.34980565309524536
-85.0291695,25.6043601,8.7,4.799999999999999,0.3242064416408539
-85.0282811,25.5790424,13.5,3.7499999999999996,0.31424403190612793
-85.0287254,25.5917,14.399999999999999,3.1499999999999995,0.3048425018787384
-85.0284058,25.6004568,7.8,3.2999999999999994,0.2968672513961792
-85.0325444,25.6112038,26.7,6.599999999999999,0.29606103897094727
-85.0291695,25.6043601,9.0,5.549999999999999,0.2883077561855316
-85.0291695,25.6043601,14.1,4.799999999999999,0.27451908588409424
-85.0310166,25.6034094,5.7,2.9999999999999996,0.27414560317993164
-85.0325444,25.6112038,16.8,5.849999999999999,0.2560303211212158
-85.0276421,25.5965547,7.8,2.9999999999999996,0.2551271319389343
-85.0231102,25.6461178,12.6,6.149999999999999,0.5973707437515259
-85.0233046,25.6160013,5.7,2.9999999999999996,0.5603823661804199
-85.0243177,25.6626627,51.6,21.149999999999995,0.5499876737594604
-85.023554,25.6587596,43.5,28.799999999999994,0.540518045425415
-85.0223444,25.6422392,30.9,13.949999999999998,0.5199885964393616
-85.0226646,25.6334941,38.1,23.549999999999997,0.47337016463279724
-85.0263626,25.6315687,11.1,5.099999999999999,0.4675169587135315
-85.0250298,25.5936273,6.0,3.1499999999999995,0.41387292742729187
-85.0273224,25.6053096,11.7,4.049999999999999,0.4066779613494873
-85.0241947,25.6412659,4.5,2.3999999999999995,0.39012962579727173
-85.0220241,25.6509834,6.3,3.1499999999999995,0.3843964636325836
-85.0248349,25.6237686,5.3999999999999995,2.6999999999999993,0.3744561970233917
-85.0263626,25.6315687,17.099999999999998,4.049999999999999,0.34914588928222656
-85.0243904,25.6111277,5.3999999999999995,2.6999999999999993,0.34735018014907837
-85.0254018,25.6578199,8.1,2.9999999999999996,0.34722647070884705
-85.0255988,25.6276673,5.1,2.5499999999999994,0.32603806257247925
-85.0270026,25.6140635,67.2,13.649999999999999,0.3248281478881836
-85.0251549,25.6150187,15.6,7.049999999999999,0.3175303637981415
-85.0254747,25.6062678,3.9,2.0999999999999996,0.30985188484191895
-85.0263626,25.6315687,9.0,4.499999999999999,0.2989335358142853
-85.0215787,25.6383618,6.3,3.1499999999999995,0.2969435155391693
-85.0279616,25.587799,40.199999999999996,16.349999999999994,0.29542049765586853
-85.0212584,25.6471049,6.3,3.2999999999999994,0.2908969223499298
-85.0263626,25.6315687,16.2,3.2999999999999994,0.2859994173049927
-85.0252787,25.6364175,4.2,2.2499999999999996,0.28451308608055115
-85.0245149,25.6325177,4.5,2.2499999999999996,0.28107890486717224
-85.0276421,25.5965547,11.4,2.8499999999999996,0.2677057683467865
-85.0263626,25.6315687,19.2,5.399999999999999,0.263874351978302
-85.0218988,25.6296179,6.8999999999999995,2.9999999999999996,0.262573778629303
-85.0263626,25.6315687,11.1,2.8499999999999996,0.2622078061103821
-85.0250813,25.6665685,12.9,3.2999999999999994,0.26214799284935
-85.0273224,25.6053096,18.0,3.7499999999999996,0.2620585262775421
-85.0273224,25.6053096,13.2,7.049999999999999,0.26164668798446655
-85.0270026,25.6140635,9.9,3.4499999999999993,0.2576083540916443
-85.0270026,25.6140635,10.799999999999999,3.2999999999999994,0.2527087926864624
-85.0266827,25.6228166,12.9,3.2999999999999994,0.2510679364204407
-85.0270026,25.6140635,10.2,3.2999999999999994,0.25061532855033875
-85.0250298,25.5936273,4.2,2.2499999999999996,0.2500981092453003
-85.0265584,25.6014115,11.1,5.849999999999999,0.6166267395019531
-85.0233702,25.5645178,111.89999999999999,111.29999999999998,0.5647842884063721
-85.0256687,25.5761234,15.0,5.399999999999999,0.5361809134483337
-85.027072,25.5625003,8.7,4.499999999999999,0.4721364974975586
-85.0253493,25.5848758,20.099999999999998,4.649999999999999,0.38129183650016785
-85.0278362,25.5663913,12.0,3.599999999999999,0.32926684617996216
-85.0278362,25.5663913,18.9,3.599999999999999,0.31611722707748413
-85.027517,25.5751476,9.6,3.599999999999999,0.30093735456466675
-85.0256687,25.5761234,9.0,4.199999999999999,0.29722699522972107
-85.027517,25.5751476,13.5,3.599999999999999,0.2616497576236725
-85.0253493,25.5848758,16.8,3.8999999999999995,0.25845643877983093
-85.0278362,25.5663913,9.6,2.2499999999999996,0.25259140133857727
-85.0278362,25.5663913,14.1,5.699999999999999,0.25184011459350586
-85.0164155,25.5810972,12.0,5.999999999999999,0.7066895365715027
-85.0152063,25.5645745,7.199999999999999,3.599999999999999,0.6693384051322937
-85.014887,25.5733101,7.5,3.7499999999999996,0.6002601385116577
-85.0153318,25.5859389,7.8,3.8999999999999995,0.5978776812553406
-85.0164155,25.5810972,8.1,4.199999999999999,0.5686783790588379
-85.0156513,25.5772031,15.0,7.499999999999999,0.5306521654129028
-85.0150802,25.5432093,6.3,3.4499999999999993,0.4828074276447296
-85.0138036,25.5781492,7.5,3.599999999999999,0.4715152084827423
-85.0134842,25.5868819,9.9,5.099999999999999,0.4577571153640747
-85.0207522,25.5616722,58.199999999999996,26.549999999999997,0.41220518946647644
-85.0159706,25.5684664,4.5,2.3999999999999995,0.3685433268547058
-85.0150802,25.5432093,5.3999999999999995,2.8499999999999996,0.32963311672210693
-85.0143728,25.6121411,4.8,2.3999999999999995,0.3227521777153015
-85.0166089,25.5509903,7.5,3.7499999999999996,0.315299391746521
-85.0136088,25.6082438,14.399999999999999,7.649999999999999,0.270639032125473
-85.0141229,25.5694155,5.7,2.6999999999999993,0.25020086765289307
-85.0113167,25.5965589,25.8,6.299999999999999,0.2500569224357605
-85.0180111,25.5373993,112.2,95.09999999999998,0.7222440242767334
-85.0164821,25.5296232,11.4,5.099999999999999,0.550254225730896
-85.0169278,25.5422509,11.1,5.099999999999999,0.42249900102615356
-85.0207522,25.5616722,60.0,26.549999999999997,0.4066421091556549
-85.0157178,25.5257341,4.8,2.5499999999999994,0.3582507073879242
-85.0164821,25.5296232,9.9,4.049999999999999,0.3443261682987213
-85.0169278,25.5422509,9.299999999999999,2.8499999999999996,0.34114333987236023
-85.0213902,25.5441798,51.9,27.449999999999996,0.3398445248603821
-85.0164821,25.5296232,15.0,4.199999999999999,0.30449411273002625
-85.0169278,25.5422509,18.3,5.099999999999999,0.26359739899635315
-85.0157178,25.5257341,4.5,2.3999999999999995,0.25519266724586487
-85.0107453,25.5626259,9.0,4.499999999999999,0.6494321823120117
-85.0048769,25.5743555,9.299999999999999,4.799999999999999,0.6264050602912903
-85.0087681,25.5423244,7.5,3.599999999999999,0.6180629730224609
-85.0073648,25.5559155,8.1,4.499999999999999,0.612128734588623
-85.0118294,25.5577669,17.7,8.249999999999998,0.5265181064605713
-85.0118294,25.5577669,6.3,3.1499999999999995,0.5076349377632141
-85.0153991,25.5344722,8.4,2.2499999999999996,0.48091742396354675
-85.0090869,25.5335975,4.8,2.5499999999999994,0.4149331748485565
-85.0144421,25.560681,9.0,2.5499999999999994,0.4035240709781647
-85.0124006,25.5917168,10.2,3.599999999999999,0.372164785861969
-85.0144421,25.560681,11.4,3.1499999999999995,0.35500368475914
-85.012081,25.6004467,68.7,9.749999999999998,0.3258258104324341
-85.0058344,25.5481954,8.4,4.049999999999999,0.3253234326839447
-85.0121485,25.5490357,4.8,2.5499999999999994,0.3204282224178314
-85.0081301,25.5597754,4.8,2.3999999999999995,0.3185851275920868
-85.0121485,25.5490357,4.8,2.3999999999999995,0.3026063144207001
-85.0124006,25.5917168,14.7,3.7499999999999996,0.2929150462150574
-85.0144421,25.560681,12.9,2.5499999999999994,0.2925293743610382
-85.0138036,25.5781492,12.6,4.349999999999999,0.28179776668548584
-85.0138036,25.5781492,12.0,3.8999999999999995,0.27902746200561523
-85.0138036,25.5781492,11.7,4.799999999999999,0.278278112411499
-85.0138036,25.5781492,12.6,3.7499999999999996,0.26855775713920593
-85.0153991,25.5344722,11.4,6.599999999999999,0.26717814803123474
-85.0099799,25.5587666,4.2,2.2499999999999996,0.2650480270385742
-85.0134842,25.5868819,12.6,4.949999999999999,0.26416507363319397
-85.0134842,25.5868819,12.299999999999999,4.199999999999999,0.25952938199043274
-85.0124006,25.5917168,20.099999999999998,3.8999999999999995,0.25641220808029175
-85.0124006,25.5917168,11.1,5.249999999999999,0.2555927336215973
-85.0099137,25.4860991,60.0,70.94999999999999,0.41328123211860657
-85.0103612,25.4986814,4.5,2.0999999999999996,0.3482249975204468
-85.0106794,25.4899502,54.6,55.04999999999999,0.3025681674480438
-85.0153991,25.5344722,18.3,6.749999999999999,0.30025574564933777
-85.0153991,25.5344722,12.0,6.749999999999999,0.2706957459449768
-85.0157178,25.5257341,9.299999999999999,2.2499999999999996,0.25081488490104675
-85.0046228,25.5317562,10.799999999999999,5.249999999999999,0.7510138750076294
-85.0062152,25.4881452,12.9,6.299999999999999,0.7016288042068481
-85.001752,25.4863213,19.2,9.599999999999998,0.6261239647865295
-85.0004784,25.5211829,18.3,9.299999999999997,0.6178278923034668
-85.0011154,25.5037539,9.0,4.649999999999999,0.5881655216217041
-85.0032199,25.5453344,21.9,11.699999999999998,0.5724152326583862
-85.0041762,25.519179,15.899999999999999,7.649999999999999,0.5136687159538269
-85.003666,25.5579123,6.6,3.2999999999999994,0.5122482180595398
-85.0072374,25.53461,9.6,4.499999999999999,0.47834324836730957
-84.9987572,25.5434601,6.3,3.2999999999999994,0.4773160517215729
-85.0055786,25.5055922,5.7,2.9999999999999996,0.4698699116706848
-85.0023272,25.5201827,21.9,14.099999999999998,0.46021896600723267
-85.0062804,25.5607786,11.7,5.099999999999999,0.45062753558158875
-85.0018805,25.5076093,7.199999999999999,3.599999999999999,0.41232216358184814
-85.0034712,25.4640158,24.3,14.249999999999998,0.40209341049194336
-85.0050692,25.5443354,6.6,3.599999999999999,0.40127187967300415
-85.0046842,25.4804412,98.39999999999999,74.24999999999999,0.3983350098133087
-85.0021358,25.5501908,6.0,3.1499999999999995,0.3952045440673828
-85.0030923,25.5240412,15.899999999999999,6.899999999999999,0.37635669112205505
-85.0025172,25.4901745,8.4,4.199999999999999,0.3525317907333374
-85.0072374,25.53461,8.7,4.949999999999999,0.3363027572631836
-85.0049415,25.5230358,9.0,4.799999999999999,0.3312889039516449
-85.0049415,25.5230358,4.8,2.6999999999999993,0.2964480221271515
-85.0062804,25.5607786,9.0,3.599999999999999,0.29282212257385254
-85.0057677,25.475569,31.5,45.74999999999999,0.2867176830768585
-85.0062804,25.5607786,17.099999999999998,5.249999999999999,0.2859671711921692
-85.0091481,25.4822491,57.599999999999994,15.449999999999998,0.5486955046653748
-85.0045546,25.4591442,18.0,5.249999999999999,0.532256007194519
-85.0062152,25.4881452,15.6,7.049999999999999,0.5013068914413452
-85.0066624,25.5007233,10.5,4.649999999999999,0.49632468819618225
-85.002388,25.4688852,18.3,7.949999999999998,0.4904875159263611
-85.0019406,25.456317,21.3,9.749999999999998,0.46989548206329346
-85.0076169,25.4745455,13.5,4.799999999999999,0.4678252339363098
-85.0083825,25.4783967,58.199999999999996,14.099999999999998,0.4482046961784363
-85.0028353,25.4814558,11.7,7.799999999999999,0.44134244322776794
-85.0062152,25.4881452,9.299999999999999,3.8999999999999995,0.43329185247421265
-85.0028353,25.4814558,12.0,10.499999999999998,0.42915067076683044
-85.0062152,25.4881452,10.2,5.249999999999999,0.4248315691947937
-85.0045546,25.4591442,23.4,3.8999999999999995,0.4006021320819855
-85.005897,25.4968691,7.199999999999999,5.849999999999999,0.3741525411605835
-85.0062152,25.4881452,8.4,2.9999999999999996,0.3600432872772217
-85.0076169,25.4745455,12.0,5.999999999999999,0.34610575437545776
